X,Y,Z,EDA,HR,TEMP,id,datetime,label,anomaly_flag
8,66,39,6.122589,94.05,31.25,4,00:44:00,1,0
-20,73,-57,6.460607,90.37,31.29,3,00:45:00,1,0
68,56,2,6.197225,97.58,31.25,6,00:46:00,1,0
0,79,-100,6.196514,94.29,31.26,12,00:47:00,1,0
-98,54,-48,6.531021,91.82,31.27,4,00:48:00,1,0
66,-97,44,6.48157,94.73,31.25,6,00:49:00,1,0
-58,30,56,6.905773,94.07,31.19,3,00:50:00,1,0
66,51,-81,6.376165,95.05,31.15,15,00:51:00,1,0
-32,5,38,6.35845,95.46,31.21,18,00:52:00,1,0
-1,44,-16,6.27164,93.34,31.13,5,00:53:00,1,0
28,-19,-52,6.34568,90.32,31.15,9,00:54:00,1,0
43,-62,8,7.895173056984362,103.90223936798162,31.36,13,00:55:00,1,0
5,-34,66,6.280887,94.78,31.1,11,00:56:00,1,0
-40,70,42,6.554332,93.67,31.09,15,00:57:00,1,0
89,87,-32,6.365085,96.77,31.2,13,00:58:00,1,0
9,56,-21,6.167027,92.86,31.11,4,00:59:00,1,0
-31,-52,3,9.384670697020116,117.61410888911465,31.41,6,01:00:00,2,1
-15,-87,83,7.067661,108.82,31.33,5,01:01:00,2,0
14,-73,-81,6.797603,103.34,31.68,17,01:02:00,2,0
-4,86,18,7.199627,105.98,31.58,13,01:03:00,2,0
-34,-89,-66,7.264817,106.21,31.4,7,01:04:00,2,0
-87,92,54,6.950067,104.91,31.62,5,01:05:00,2,0
59,46,-6,6.856053,96.99,31.65,7,01:06:00,2,0
-15,7,85,7.352014,100.12,31.4,10,01:07:00,2,0
-75,96,84,6.838598,95.03,31.64,2,01:08:00,2,0
78,0,66,7.078965,104.71,31.6,4,01:09:00,2,0
11,69,-100,6.998876,105.32,31.66,11,01:10:00,2,0
34,-63,-54,6.701563,108.71,31.37,7,01:11:00,2,0
4,-57,59,6.774807,102.58,31.18,4,01:12:00,2,0
-40,-52,57,9.06631892703819,124.42363714770514,31.63,17,01:13:00,2,1
75,27,61,7.13764,112.34,31.44,2,01:14:00,2,0
21,67,-77,6.881022,106.33,31.43,11,01:15:00,2,0
23,-79,56,6.97654,107.79,31.63,10,01:16:00,2,0
-56,97,23,7.087116,104.46,31.62,17,01:17:00,2,0
-49,75,25,6.918562,103.7,31.76,9,01:18:00,2,0
-99,-84,24,7.031764,107.7,31.24,12,01:19:00,2,0
-91,15,-46,6.952774,104.14,31.55,4,01:20:00,2,0
-40,-10,40,7.297398,101.35,31.47,1,01:21:00,2,0
-91,84,-21,7.080801,100.05,31.42,13,01:22:00,2,0
-33,-17,-15,8.747346670629845,116.46021846508502,31.56,16,01:23:00,2,1
-34,83,-77,7.178257,102.38,31.47,17,01:24:00,2,0
0,-93,71,6.958031,112.39,31.5,16,01:25:00,2,0
81,-57,1,7.264283,104.6,31.5,17,01:26:00,2,0
63,-8,-1,7.272917,104.47,31.51,3,01:27:00,2,0
-82,1,-34,7.324231,103.65,31.48,18,01:28:00,2,0
54,5,10,6.937309,100.99,31.4,3,01:29:00,2,0
-12,34,-44,6.305309,99.94,31.17,2,01:30:00,1,0
-65,95,-13,6.262339,99.11,31.25,13,01:31:00,1,0
-66,18,-67,6.626263,92.81,31.15,7,01:32:00,1,0
-88,-59,64,6.808347,90.64,31.1,15,01:33:00,1,0
40,5,-89,6.114321,96.06,31.05,2,01:34:00,1,0
92,27,79,6.390987,93.85,31.19,15,01:35:00,1,0
-85,59,-85,6.545037,93.71,31.25,13,01:36:00,1,0
7,24,51,6.44213,95.68,31.25,13,01:37:00,1,0
82,-85,-57,6.171056,90.43,31.13,17,01:38:00,1,0
64,87,-77,6.298245,98.21,31.18,6,01:39:00,1,0
90,64,-85,6.191499,88.39,31.2,4,01:40:00,1,0
50,-95,63,6.49235,92.93,31.31,1,01:41:00,1,0
74,-79,-40,6.527428,92.4,31.22,12,01:42:00,1,0
-13,74,-54,6.321689,96.27,30.98,8,01:43:00,1,0
-100,8,-19,6.233408,93.54,31.28,10,01:44:00,1,0
25,-28,9,6.443079,96.13,31.18,13,01:45:00,1,0
-45,-96,0,6.586145,95.96,31.35,12,01:46:00,1,0
89,-32,-38,6.536689,94.81,31.19,12,01:47:00,1,0
76,-49,-38,6.22641,95.9,31.4,18,01:48:00,1,0
-13,-56,7,6.501339,95.21,31.27,14,01:49:00,1,0
-89,-13,-28,6.302588,98.09,31.21,3,01:50:00,1,0
27,16,-66,6.148895,89.34,31.15,14,01:51:00,1,0
59,-65,-82,6.646422,94.76,31.17,1,01:52:00,1,0
-45,-83,12,6.548225,96.45,31.13,5,01:53:00,1,0
-49,26,66,6.387908,95.78,31.09,1,01:54:00,1,0
-48,36,32,6.181305,95.13,31.21,8,01:55:00,1,0
-26,90,57,6.414546,96.11,31.33,1,01:56:00,1,0
92,-65,33,6.359248,96.56,31.08,5,01:57:00,1,0
-24,60,-88,6.407066,102.27,31.16,6,01:58:00,1,0
-84,22,13,6.460065,92.88,31.05,8,01:59:00,1,0
20,87,-44,5.661845,81.78,31.21,11,02:00:00,0,0
11,-16,-21,5.747098,81.56,30.95,9,02:01:00,0,0
-19,-80,78,5.82346,85.8,30.99,18,02:02:00,0,0
45,-88,-84,5.705547,86.8,30.82,16,02:03:00,0,0
60,4,-59,5.796779,83.4,30.8,16,02:04:00,0,0
-23,-9,-90,5.783573,83.05,30.92,4,02:05:00,0,0
-44,-26,50,5.852246,84.3,30.99,5,02:06:00,0,0
-30,-68,-98,5.893332,86.11,30.89,1,02:07:00,0,0
-82,41,94,5.828908,84.28,31.0,1,02:08:00,0,0
-31,99,-42,5.653161,85.13,31.02,3,02:09:00,0,0
-17,79,93,5.700077,84.5,31.07,7,02:10:00,0,0
-95,34,71,5.714147,85.08,31.17,18,02:11:00,0,0
14,40,59,5.995501,83.74,30.95,2,02:12:00,0,0
9,-71,-92,5.879942,85.35,31.0,13,02:13:00,0,0
89,5,-37,5.954892,87.97,30.8,10,02:14:00,0,0
69,-68,-38,5.799664,86.41,30.96,1,02:15:00,0,0
-40,61,62,5.778008,85.34,30.83,3,02:16:00,0,0
81,-66,-54,5.850325,83.77,30.83,14,02:17:00,0,0
-5,-78,42,5.952648,83.27,31.02,6,02:18:00,0,0
-11,-22,26,5.691355,82.48,31.11,13,02:19:00,0,0
-6,36,-72,5.79418,87.39,31.1,5,02:20:00,0,0
26,-29,-42,5.855831,82.82,30.99,14,02:21:00,0,0
-6,-38,2,5.680629,86.99,31.04,5,02:22:00,0,0
45,-94,-14,5.856731,84.75,31.03,1,02:23:00,0,0
-92,82,55,5.849295,84.35,31.13,9,02:24:00,0,0
83,-27,85,5.648908,83.86,30.91,17,02:25:00,0,0
51,54,66,5.792354,87.52,30.97,2,02:26:00,0,0
-14,-68,-82,5.883322,86.68,31.14,13,02:27:00,0,0
-23,59,-71,5.821283,83.86,31.09,18,02:28:00,0,0
-13,31,4,5.929688,87.91,31.07,3,02:29:00,0,0
76,40,68,5.767358,85.86,31.12,12,02:30:00,0,0
10,13,99,5.785477,81.79,30.88,6,02:31:00,0,0
0,27,1,5.807233,87.15,30.82,4,02:32:00,0,0
-64,-47,48,5.836606,85.69,31.06,6,02:33:00,0,0
-70,0,64,5.648037,84.28,31.0,3,02:34:00,0,0
-30,-34,27,5.833449,87.51,30.9,15,02:35:00,0,0
2,19,69,5.94226,85.97,31.01,3,02:36:00,0,0
57,-48,-43,5.782454,82.15,30.95,15,02:37:00,0,0
-36,5,-10,5.669254,85.42,31.15,18,02:38:00,0,0
-57,-11,32,5.759001,86.45,31.15,1,02:39:00,0,0
-88,52,-43,5.890889,83.56,31.04,2,02:40:00,0,0
39,-82,13,5.806311,84.62,30.97,10,02:41:00,0,0
-22,73,10,5.865073,88.62,31.1,16,02:42:00,0,0
-61,33,-5,5.77264,83.38,30.87,3,02:43:00,0,0
38,5,-2,5.675943,85.72,30.92,8,02:44:00,0,0
-7,22,75,5.709602,82.65,30.83,7,02:45:00,0,0
0,52,50,5.727205,84.29,31.21,15,02:46:00,0,0
32,50,-39,5.615458,86.34,30.89,1,02:47:00,0,0
91,78,29,5.970675,79.33,31.04,17,02:48:00,0,0
16,-98,23,5.867925,83.58,30.97,3,02:49:00,0,0
-45,-34,80,5.886122,85.9,31.07,3,02:50:00,0,0
65,-61,46,5.722261,84.95,31.17,12,02:51:00,0,0
84,3,62,5.88874,82.57,31.1,5,02:52:00,0,0
26,-77,67,5.611391,84.07,30.84,11,02:53:00,0,0
70,66,37,5.858044,86.96,31.06,2,02:54:00,0,0
-14,-11,-21,5.805431,80.83,31.13,15,02:55:00,0,0
-25,-41,-33,5.89894,86.81,31.1,16,02:56:00,0,0
66,19,42,5.591728,86.78,31.01,17,02:57:00,0,0
-79,-26,-65,5.718398,83.3,30.98,12,02:58:00,0,0
41,-83,-63,5.719586,87.53,30.9,5,02:59:00,0,0
82,-58,22,6.362702,93.48,31.19,4,03:00:00,1,0
72,18,37,6.231722,91.25,31.22,13,03:01:00,1,0
18,65,64,6.298087,95.87,31.31,5,03:02:00,1,0
-79,-8,90,6.638417,93.57,31.13,3,03:03:00,1,0
59,-78,87,6.73436,95.36,31.26,13,03:04:00,1,0
-79,-69,74,6.392232,95.17,31.27,2,03:05:00,1,0
53,81,-86,6.4608,95.33,31.2,4,03:06:00,1,0
-28,48,-91,6.334629,94.79,31.27,4,03:07:00,1,0
-29,-85,-63,6.307578,93.82,31.1,17,03:08:00,1,0
77,-84,12,8.06610989040733,103.03102741221238,31.27,12,03:09:00,1,0
35,-37,86,6.53475,93.64,31.19,11,03:10:00,1,0
-41,72,36,6.534144,94.22,31.35,7,03:11:00,1,0
-25,-86,80,6.436641,104.45,31.1,4,03:12:00,1,0
64,56,56,6.235835,87.61,31.01,17,03:13:00,1,0
-84,-4,-46,6.778506,91.4,31.16,9,03:14:00,1,0
9,-85,43,6.127841,97.52,31.27,13,03:15:00,1,0
-33,-27,-2,8.287500428549771,107.14508113326168,31.19,9,03:16:00,1,0
-47,-22,-86,6.256615,98.42,31.25,11,03:17:00,1,0
47,-3,49,6.346004,96.24,31.34,16,03:18:00,1,0
92,-27,-80,6.088426,98.29,31.14,13,03:19:00,1,0
-48,38,-86,6.270935,95.37,31.1,9,03:20:00,1,0
-9,-78,54,6.265481,95.3,31.17,14,03:21:00,1,0
-57,-57,27,6.377717,95.39,31.4,2,03:22:00,1,0
28,24,-65,6.22186,92.87,31.23,14,03:23:00,1,0
-88,-84,-71,6.498949,95.45,31.14,11,03:24:00,1,0
-35,18,-48,6.332566,94.88,31.1,8,03:25:00,1,0
83,-42,-69,6.250489,97.4,31.23,15,03:26:00,1,0
60,-100,27,6.525457,95.97,31.12,7,03:27:00,1,0
40,-25,57,6.503703,93.23,31.27,2,03:28:00,1,0
-59,25,16,6.358883,91.98,31.13,6,03:29:00,1,0
-51,-41,40,7.164586,105.28,31.48,3,03:30:00,2,0
58,39,-37,7.236385,104.25,31.44,15,03:31:00,2,0
49,80,-80,7.255751,102.82,31.42,3,03:32:00,2,0
-2,-54,93,6.875297,110.75,31.23,15,03:33:00,2,0
3,23,84,7.053624,101.16,31.63,16,03:34:00,2,0
-100,57,70,6.751702,101.83,31.39,18,03:35:00,2,0
-85,-63,38,6.938127,101.73,31.59,18,03:36:00,2,0
67,-93,-3,7.02094,102.89,31.46,6,03:37:00,2,0
-44,-25,12,7.251303,102.71,31.61,6,03:38:00,2,0
-48,31,-92,6.881682,106.25,31.47,5,03:39:00,2,0
-30,-95,-50,6.793274,103.55,31.68,10,03:40:00,2,0
41,-90,-91,7.133969,105.53,31.47,17,03:41:00,2,0
40,-16,81,7.060711,105.67,31.45,1,03:42:00,2,0
74,77,17,6.941643,104.08,31.45,12,03:43:00,2,0
49,29,-8,7.44622,105.47,31.46,13,03:44:00,2,0
46,36,15,6.988256,98.84,31.52,1,03:45:00,2,0
43,6,-22,7.002636,102.32,31.45,6,03:46:00,2,0
64,26,-97,9.557423839192104,111.489248808004,31.56,9,03:47:00,2,1
86,-2,81,7.290933,110.02,31.39,9,03:48:00,2,0
-97,-16,66,6.922007,105.48,31.47,7,03:49:00,2,0
-57,1,-56,7.237435,108.19,31.36,5,03:50:00,2,0
-36,-47,83,7.158718,94.93,31.55,18,03:51:00,2,0
-85,70,58,6.98274,101.39,31.49,12,03:52:00,2,0
47,62,86,6.874865,103.45,31.46,9,03:53:00,2,0
67,-10,-10,7.330026,99.16,31.39,10,03:54:00,2,0
-77,-94,-95,7.114936,101.4,31.45,1,03:55:00,2,0
64,38,32,7.617878,105.58,31.59,12,03:56:00,2,0
-63,-47,29,7.379981,108.41,31.29,2,03:57:00,2,0
63,31,51,7.110085,110.05,31.64,18,03:58:00,2,0
-86,-52,11,7.083618,96.29,31.5,15,03:59:00,2,0
-24,-53,50,6.350976,91.74,31.3,12,04:00:00,1,0
97,78,27,6.472678,94.06,31.37,13,04:01:00,1,0
30,19,55,6.242936,96.97,31.19,18,04:02:00,1,0
-86,35,75,6.616377,93.49,31.15,3,04:03:00,1,0
-89,46,84,6.3592,93.13,31.28,13,04:04:00,1,0
-64,88,-26,6.440082,91.06,31.22,18,04:05:00,1,0
-90,-35,-88,6.301752,90.6,31.3,13,04:06:00,1,0
81,58,88,6.401859,93.57,31.06,16,04:07:00,1,0
5,80,79,6.190034,91.67,31.19,6,04:08:00,1,0
8,81,-17,6.636562,96.92,31.29,11,04:09:00,1,0
82,-29,38,6.522378,95.76,31.24,5,04:10:00,1,0
-19,-37,-9,6.236387,94.64,31.28,12,04:11:00,1,0
-54,60,-20,6.434298,88.85,31.23,3,04:12:00,1,0
-48,-62,6,6.392441,94.78,31.13,8,04:13:00,1,0
-75,-47,-50,6.084879,96.21,31.15,15,04:14:00,1,0
19,88,-55,6.379564,95.76,31.09,18,04:15:00,1,0
83,-47,-84,6.306995,96.18,31.16,13,04:16:00,1,0
32,51,90,6.354466,95.82,31.07,15,04:17:00,1,0
65,-68,-74,6.668765,93.37,31.25,17,04:18:00,1,0
79,-33,-2,6.239251,96.15,31.18,8,04:19:00,1,0
50,85,-32,6.528054,94.04,31.25,11,04:20:00,1,0
-74,15,61,6.203408,94.12,31.26,14,04:21:00,1,0
-90,62,46,6.233623,94.86,30.95,1,04:22:00,1,0
-34,79,8,6.134739,96.77,31.35,18,04:23:00,1,0
95,90,42,6.364287,96.13,31.36,1,04:24:00,1,0
-4,-84,-25,6.736939,95.95,31.1,17,04:25:00,1,0
15,82,4,6.306337,93.47,31.4,3,04:26:00,1,0
-20,-29,46,6.614306,92.27,31.22,4,04:27:00,1,0
70,-67,87,6.736365,94.32,31.15,3,04:28:00,1,0
-19,-82,-57,6.360137,94.34,31.34,1,04:29:00,1,0
65,-62,52,5.834716,86.63,30.98,8,04:30:00,0,0
-100,99,81,5.607399,83.2,31.01,2,04:31:00,0,0
47,28,86,6.103032,83.59,31.03,7,04:32:00,0,0
92,63,61,5.624157,82.7,31.18,17,04:33:00,0,0
53,-80,-19,5.775736,87.81,31.0,15,04:34:00,0,0
54,-78,60,5.700713,86.79,31.07,16,04:35:00,0,0
69,22,56,5.731052,84.67,31.05,2,04:36:00,0,0
-53,1,91,5.795167,84.58,30.99,13,04:37:00,0,0
28,98,-67,5.648511,85.77,30.97,1,04:38:00,0,0
69,-10,-63,5.80611,87.02,31.0,3,04:39:00,0,0
37,39,-18,5.88059,85.18,31.0,8,04:40:00,0,0
-51,-91,2,5.831341,84.73,31.07,4,04:41:00,0,0
93,-77,41,5.646987,81.53,30.87,9,04:42:00,0,0
73,61,90,5.796653,87.65,31.01,4,04:43:00,0,0
5,-96,-4,5.909253,86.2,31.11,14,04:44:00,0,0
-97,34,30,5.663375,88.44,31.06,17,04:45:00,0,0
80,37,98,5.597846,87.95,30.99,7,04:46:00,0,0
67,13,-39,5.726503,83.05,31.01,7,04:47:00,0,0
3,-45,9,5.776773,87.06,31.09,17,04:48:00,0,0
-8,36,-68,5.632161,85.4,31.01,3,04:49:00,0,0
-45,75,37,5.82398,87.21,30.75,9,04:50:00,0,0
-61,-61,96,5.849178,87.43,30.89,6,04:51:00,0,0
-54,83,4,5.812328,82.79,30.94,17,04:52:00,0,0
-17,50,96,5.760053,84.74,31.11,1,04:53:00,0,0
5,25,89,5.808811,81.76,31.11,16,04:54:00,0,0
87,42,-20,5.810354,86.1,31.03,12,04:55:00,0,0
1,95,-24,5.756494,88.32,31.02,15,04:56:00,0,0
69,-89,-22,5.729975,85.57,31.18,4,04:57:00,0,0
-99,-76,-100,5.887411,86.47,30.8,5,04:58:00,0,0
96,-85,81,5.892919,85.33,31.03,18,04:59:00,0,0
-6,36,-70,5.716292,87.94,31.1,5,05:00:00,0,0
-71,-75,76,5.991195,89.16,31.05,18,05:01:00,0,0
-29,-47,36,5.722867,83.48,31.09,15,05:02:00,0,0
-3,61,-1,5.834278,88.79,30.83,3,05:03:00,0,0
-13,4,-82,5.917765,84.66,30.91,12,05:04:00,0,0
-68,5,84,5.654481,85.29,31.21,10,05:05:00,0,0
93,80,17,5.875659,84.59,31.13,3,05:06:00,0,0
-5,19,80,5.679519,86.57,30.83,12,05:07:00,0,0
-20,67,92,5.871013,84.85,30.98,8,05:08:00,0,0
-5,-88,9,5.832916,84.23,31.16,15,05:09:00,0,0
-98,81,-17,6.090782,86.44,30.89,14,05:10:00,0,0
44,64,-13,5.773208,85.42,31.14,6,05:11:00,0,0
52,79,-42,5.73861,83.9,31.01,5,05:12:00,0,0
-38,-69,-14,5.7859,87.88,31.08,15,05:13:00,0,0
28,-82,0,5.716289,85.57,31.08,3,05:14:00,0,0
12,53,-88,5.792271,87.71,30.98,14,05:15:00,0,0
-23,-34,7,5.779306,83.82,31.12,12,05:16:00,0,0
-4,-90,72,5.903856,82.64,31.01,10,05:17:00,0,0
-52,42,40,5.803365,85.76,30.93,11,05:18:00,0,0
17,75,95,5.740028,87.75,31.04,18,05:19:00,0,0
46,59,-34,5.716158,87.28,31.06,17,05:20:00,0,0
-48,-20,-76,5.891756,83.99,31.06,1,05:21:00,0,0
70,43,-10,5.879929,84.75,30.93,11,05:22:00,0,0
-73,24,65,5.836851,87.73,30.93,12,05:23:00,0,0
80,-50,-88,5.780154,81.34,30.83,9,05:24:00,0,0
72,-83,-8,5.897511,84.93,30.94,15,05:25:00,0,0
26,-82,78,7.881658878773693,99.39405275574273,31.11,10,05:26:00,0,0
-47,47,-43,5.840061,86.01,31.03,3,05:27:00,0,0
88,84,-98,5.684778,84.82,31.1,5,05:28:00,0,0
73,-90,91,5.925248,85.32,31.0,14,05:29:00,0,0
-57,14,86,6.291298,91.96,31.23,5,05:30:00,1,0
91,-33,-54,6.288258,97.14,31.01,3,05:31:00,1,0
85,-78,30,6.353816,97.08,31.33,9,05:32:00,1,0
97,-53,22,6.317907,93.76,31.33,18,05:33:00,1,0
88,-96,-71,6.718584,94.12,31.16,17,05:34:00,1,0
-74,26,34,6.569312,98.45,31.23,11,05:35:00,1,0
29,78,93,6.433864,93.64,31.48,16,05:36:00,1,0
-75,1,19,6.419887,92.65,31.11,13,05:37:00,1,0
84,-69,-39,6.516365,91.75,31.17,14,05:38:00,1,0
-15,-42,-73,6.552301,96.61,31.38,11,05:39:00,1,0
-82,-17,-8,6.591684,95.63,31.33,17,05:40:00,1,0
43,80,62,6.299593,93.28,31.4,4,05:41:00,1,0
-55,-49,23,6.112463,90.56,31.11,5,05:42:00,1,0
-33,89,-21,6.492213,94.59,31.12,9,05:43:00,1,0
33,-85,-14,6.34169,96.02,31.14,10,05:44:00,1,0
18,-82,-25,6.37366,97.94,31.03,13,05:45:00,1,0
66,64,-72,6.339052,94.44,31.1,3,05:46:00,1,0
62,-33,30,6.353866,96.53,31.26,13,05:47:00,1,0
71,-63,-72,6.177719,91.98,31.22,3,05:48:00,1,0
9,87,-70,6.558198,91.76,31.03,3,05:49:00,1,0
28,7,-48,6.322889,97.85,31.09,6,05:50:00,1,0
-22,-54,-5,6.235984,97.79,31.03,10,05:51:00,1,0
-78,65,-60,6.414495,90.95,31.15,11,05:52:00,1,0
-100,-26,38,6.433332,98.06,31.26,7,05:53:00,1,0
67,-5,7,6.366317,91.82,31.18,3,05:54:00,1,0
-57,99,86,6.338371,90.44,31.11,10,05:55:00,1,0
3,7,-12,6.236759,101.51,31.29,3,05:56:00,1,0
69,93,-10,6.234165,103.29,31.11,14,05:57:00,1,0
-15,-54,-24,6.355873,96.65,31.23,9,05:58:00,1,0
87,-86,-23,6.464943,90.74,31.19,3,05:59:00,1,0
-11,-45,-47,7.146704,103.26,31.31,9,06:00:00,2,0
97,28,40,7.101045,104.82,31.48,6,06:01:00,2,0
80,53,93,7.088052,103.9,31.51,11,06:02:00,2,0
-6,-75,2,7.298425,107.59,31.58,17,06:03:00,2,0
72,49,71,7.443813,107.6,31.25,17,06:04:00,2,0
30,17,94,7.074456,107.06,31.54,8,06:05:00,2,0
-47,95,74,10.040865319609535,132.060046478929,31.21,10,06:06:00,2,1
-12,-47,17,6.900663,107.12,31.34,9,06:07:00,2,0
16,63,-43,7.022951,98.88,31.55,16,06:08:00,2,0
-11,3,93,7.043697,108.26,31.42,17,06:09:00,2,0
77,-13,94,6.846472,108.56,31.42,4,06:10:00,2,0
29,-37,79,7.285524,100.57,31.48,1,06:11:00,2,0
82,-57,41,7.268332,105.91,31.43,5,06:12:00,2,0
-28,21,-30,6.866693,104.43,31.62,18,06:13:00,2,0
-94,-29,-80,7.24481,109.86,31.63,1,06:14:00,2,0
75,27,-7,7.129814,111.89,31.42,4,06:15:00,2,0
-52,-71,99,6.884286,102.17,31.4,18,06:16:00,2,0
14,-9,55,6.973678,108.87,31.66,8,06:17:00,2,0
21,-92,59,7.050987,100.59,31.52,3,06:18:00,2,0
29,93,13,7.016435,107.37,31.5,3,06:19:00,2,0
-1,41,93,6.648717,107.31,31.32,13,06:20:00,2,0
-72,-17,61,7.008223,112.29,31.39,17,06:21:00,2,0
52,12,47,6.955967,105.28,31.44,6,06:22:00,2,0
-27,-29,5,7.13353,110.15,31.63,11,06:23:00,2,0
-49,64,-49,7.05132,105.03,31.53,9,06:24:00,2,0
34,-99,-76,7.021837,102.29,31.53,8,06:25:00,2,0
92,23,-24,6.964007,107.01,31.49,6,06:26:00,2,0
81,94,-23,7.014316,101.73,31.66,16,06:27:00,2,0
-76,-64,23,7.030625,98.28,31.61,7,06:28:00,2,0
-34,75,2,7.253301,111.12,31.72,1,06:29:00,2,0
-92,-14,-7,6.513462,96.82,31.33,15,06:30:00,1,0
-33,-96,-18,6.508487,92.96,31.13,14,06:31:00,1,0
96,-29,-10,6.165179,97.6,31.33,5,06:32:00,1,0
26,-64,53,6.621331,94.02,31.2,10,06:33:00,1,0
-78,10,38,6.437648,89.73,31.19,10,06:34:00,1,0
20,97,73,6.294235,93.56,31.23,16,06:35:00,1,0
68,-2,-31,6.543098,94.47,31.23,1,06:36:00,1,0
13,93,-36,6.094949,97.53,31.02,10,06:37:00,1,0
-56,22,25,6.60177,95.86,31.25,1,06:38:00,1,0
20,13,-87,6.353512,96.48,31.44,11,06:39:00,1,0
-76,91,18,6.422476,97.03,30.98,9,06:40:00,1,0
-19,-32,13,6.439928,97.95,31.11,1,06:41:00,1,0
48,58,-26,6.600957,97.95,31.08,18,06:42:00,1,0
-45,-21,-77,6.401783,95.38,31.25,3,06:43:00,1,0
-70,42,10,6.372885,95.14,31.12,10,06:44:00,1,0
23,32,75,6.359031,95.7,31.18,13,06:45:00,1,0
57,-95,-76,6.307977,97.89,31.28,4,06:46:00,1,0
-33,-53,77,6.34156,91.53,31.17,5,06:47:00,1,0
78,82,86,6.307217,92.45,31.33,4,06:48:00,1,0
-12,-70,83,6.808912,91.33,31.07,3,06:49:00,1,0
-57,-66,7,6.383919,96.29,31.34,1,06:50:00,1,0
2,90,-68,6.587439,89.34,31.27,13,06:51:00,1,0
22,56,57,6.44339,94.92,31.09,2,06:52:00,1,0
-96,38,59,6.446893,93.78,31.19,11,06:53:00,1,0
-37,91,55,6.390719,99.2,31.21,8,06:54:00,1,0
-59,-62,-99,6.587112,94.51,31.08,17,06:55:00,1,0
85,-19,-23,6.103819,97.22,31.33,15,06:56:00,1,0
-21,-22,58,6.343715,90.72,31.31,5,06:57:00,1,0
11,89,5,6.299014,94.17,31.1,2,06:58:00,1,0
45,97,-37,6.422485,95.21,31.11,12,06:59:00,1,0
-24,61,-14,5.93057,81.79,31.02,10,07:00:00,0,0
-92,-58,-97,5.824959,88.28,31.02,10,07:01:00,0,0
-2,-52,99,5.878344,81.62,31.01,12,07:02:00,0,0
15,96,48,5.824633,84.35,30.85,6,07:03:00,0,0
19,31,-82,5.859026,87.95,31.07,8,07:04:00,0,0
52,94,-75,5.778648,85.44,30.85,10,07:05:00,0,0
54,69,-28,5.775361,87.82,31.11,12,07:06:00,0,0
97,-42,-63,5.722179,85.17,30.96,7,07:07:00,0,0
